|| Algorithm Settings:
|| Population size: 20
|| Elite ratio: 0,2
|| Crossover rate: 0,85
|| Mutation rate: 0,15

== Generation 1 ==
| 0000100010111 0011000001010 |	-3,53 -2,99	295,03	4,97
| 1001110001100 1001101100100 |	3,26 3,43	226,19	73,81
| 1110010111011 1101110101111 |	1,79 0,70	227,62	72,38
| 1010110101000 0001000100101 |	2,30 -3,06	201,42	98,58
| 0111110001111 1001000011100 |	-1,26 3,02	258,40	41,60
| 0100000111111 0100101111000 |	-0,04 -0,42	122,48	177,52
| 0101110110101 1101010001001 |	-0,71 0,76	154,53	145,47
| 0110101110001 0011101101100 |	-1,59 -2,57	174,27	125,73
| 0110101110100 0011110100100 |	-1,59 -2,69	173,33	126,67
| 0111110001111 1011100011100 |	-1,26 2,52	248,95	51,05
| 1100100001111 0100100111100 |	0,49 -0,46	134,43	165,57
| 1101111000111 0100001101100 |	0,63 -0,07	145,55	154,45
| 0101111000100 1010011111100 |	-0,63 2,17	220,17	79,83
| 1000111010001 1111110100110 |	3,66 1,31	283,88	16,12
| 1011110101100 0001000101111 |	2,70 -3,05	228,80	71,20
| 0101110101100 1011101111111 |	-0,70 2,58	236,05	63,95
| 0110100010101 0100010001001 |	-1,53 -0,24	148,88	151,12
| 1000111010010 1111011110010 |	3,65 1,16	283,71	16,29
| 0110100011110 0100000011011 |	-1,52 -0,02	151,59	148,41
| 1000001101100 1001100100100 |	3,93 3,45	160,34	139,66

| Average fitness in generation: 203,78154232396386

== Generation 2 ==
| 0110100110101 0110000011001 |	-1,54 -1,98	166,05	133,95
| 0110100011110 0100000011011 |	-1,52 -0,02	151,59	148,41
| 1000111010010 1111011110010 |	3,65 1,16	283,71	16,29
| 0101100011110 1101010001011 |	-0,52 0,76	152,53	147,47
| 0110111010010 1001001110010 |	-1,65 3,09	272,39	27,61
| 1001110001100 1001101100100 |	3,26 3,43	226,19	73,81
| 1100100111111 0100101111000 |	0,46 -0,42	133,83	166,17
| 1101111000111 0100001101100 |	0,63 -0,07	145,55	154,45
| 0101111000100 1010011111100 |	-0,63 2,17	220,17	79,83
| 0000100011001 0011100100110 |	-3,52 -2,56	282,81	17,19
| 0100000111111 0100101111000 |	-0,04 -0,42	122,48	177,52
| 1100100001111 0100100111100 |	0,49 -0,46	134,43	165,57
| 1010110101000 0001000100101 |	2,30 -3,06	201,42	98,58
| 0111110101100 1011101111111 |	-1,30 2,58	252,25	47,75
| 0101110001111 1011100011100 |	-0,74 2,52	235,24	64,76
| 0000100010111 0011000001010 |	-3,53 -2,99	295,03	4,97
| 0110101101100 0011100100100 |	-1,57 -2,56	172,91	127,09
| 0100000001111 0100000111100 |	-0,01 -0,04	129,00	171,00
| 0110101110100 0011110100100 |	-1,59 -2,69	173,33	126,67
| 1011110101100 0001000101111 |	2,70 -3,05	228,80	71,20

| Average fitness in generation: 198,98618174127984

== Generation 3 ==
| 0110101101100 0011100100100 |	-1,57 -2,56	172,91	127,09
| 0110111010010 1001001110010 |	-1,65 3,09	272,39	27,61
| 1000111010010 1111011110010 |	3,65 1,16	283,71	16,29
| 1000100010111 1111010001010 |	3,53 1,24	289,10	10,90
| 0101110101100 1011100011111 |	-0,70 2,52	234,29	65,71
| 0111110101100 1011101111111 |	-1,30 2,58	252,25	47,75
| 0110100110101 0110000011001 |	-1,54 -1,98	166,05	133,95
| 1001111000100 0001011111100 |	3,37 -3,17	251,27	48,73
| 1010110101000 0001000100101 |	2,30 -3,06	201,42	98,58
| 0000111010010 0011001110011 |	-3,65 -2,91	294,88	5,12
| 0100000111111 0100101111010 |	-0,04 -0,42	122,50	177,50
| 1011110101100 0001000101111 |	2,70 -3,05	228,80	71,20
| 0110100011001 1001100100110 |	-1,52 3,44	261,28	38,72
| 0000111010010 0011001110010 |	-3,65 -2,91	294,91	5,09
| 1101111000111 0100001101100 |	0,63 -0,07	145,55	154,45
| 0100000111111 0100101111000 |	-0,04 -0,42	122,48	177,52
| 1001110001100 1001101100100 |	3,26 3,43	226,19	73,81
| 0101110001111 1011100011100 |	-0,74 2,52	235,24	64,76
| 0100000001111 0100000111100 |	-0,01 -0,04	129,00	171,00
| 0101111000100 1010011111100 |	-0,63 2,17	220,17	79,83

| Average fitness in generation: 220,219160270719

|| Algorithm Settings:
|| Population size: 20
|| Elite ratio: 0,2
|| Crossover rate: 0,85
|| Mutation rate: 0,15

